DATABASE ID,ENGLISH,SPANISH,TURKISH,JAPANESE,CHINESE,ITALIAN,FRENCH,GERMAN,RUSSIAN,DUTCH,HEBREW,ARABIC,GREEK,PORTUGUESE,HINDI,KOREAN
80,Equatorial Guinea,Guinea Ecuatorial,Ekvator Ginesi,赤道ギニア,赤道几内亚,Guinea equatoriale,La Guinée équatoriale,Äquatorial-Guinea,Экваториальная Гвинея,Equatoriaal-Guinea,גינאה המשוונית,غينيا الاستوائية,Ισημερινή Γουινέα,Guiné Equatorial,इक्वेटोरियल गिनी,적도 기니
107,Kenya,Kenia,Kenya,ケニア,肯尼亚,Kenia,Kenya,Kenia,Кения,Kenia,בקניה,كينيا,Κένυα,Quênia,केन्या,케냐
118,Liberia,Liberia,Liberya,リベリア,利比里亚,Liberia,Libéria,Liberia,Либерия,Liberia,ליבריה,ليبيريا,Λιβερία,Libéria,लाइबेरिया,라이베리아
128,Lesotho,Lesoto,Lesoto,レソト,莱索托,Lesoto,Lesotho,Lesotho,Лесото,Lesotho,לסוטו,ليسوتو,Λεσόθο,Lesoto,लेसोथो,레소토
136,Madagascar,Madagascar,Madagaskar,マダガスカル,马达加斯加,Madagascar,Madagascar,Madagaskar,Мадагаскар,Madagascar,מדגסקר,مدغشقر,Μαδαγασκάρη,Madagáscar,मेडागास्कर,마다 가스 카르
143,Mali,Malí,Mali,庭師,马里,Mali,Mali,Mali,Мали,Mali,מלי,مالي,Μάλι,Mali,माली,말리
150,Mozambique,Mozambique,Mozambik,モザンビーク,莫桑比克,Mozambico,Mozambique,Mosambik,Мозамбик,Mozambique,מוזמביק,موزمبيق,Μοζαμβίκη,Moçambique,मोज़ाम्बिक,모잠비크
151,Mauritania,Mauritania,Moritanya,モーリタニア,毛里塔尼亚,Mauritania,Mauritanie,Mauretanien,Мавритания,Mauritanië,מאוריטניה,موريتانيا,Μαυριτανία,Mauritânia,मॉरिटानिया,모리 타니
152,Mauritius,Mauricio,Mauritius,モーリシャス,毛里求斯,Mauritius,Ile Maurice,Mauritius,Маврикий,Mauritius,מאוריציוס,موريشيوس,Μαυρίκιος,Maurício,मॉरिशस,모리셔스
153,Malawi,Malawi,Malawi,マラウイ,马拉维,Malawi,Malawi,Malawi,Малави,Malawi,מלאווי,ملاوي,Μαλάουι,Malavi,मलावी,말라위
155,Mayotte,Mayotte,Mayotte,マヨット島,马约特岛,Mayotte,Mayotte,Mayotte,Майотта,Mayotte,מאיוט,مايوت,Μαγιότ,Mayotte,मायोटी,마요티
157,Namibia,Namibia,Namibya,ナミビア,纳米比亚,Namibia,La Namibie,Namibia,Намибия,Namibië,נמיביה,ناميبيا,Ναμίμπια,Namíbia,नामीबिया,나미비아
159,Niger,Níger,Nijer,ニジェール,尼日尔,Niger,Niger,Niger,Нигер,Niger,ניז'ר,النيجر,Νίγηρας,Níger,नाइजर,니제르
160,Nigeria,Nigeria,Nijerya,ナイジェリア,尼日利亚,Nigeria,Nigeria,Nigeria,Нигерия,Nigeria,ניגריה,نيجيريا,Νιγηρία,Nigéria,नाइजीरिया,나이지리아
184,Rwanda,Ruanda,Ruanda,ルワンダ,卢旺达,Ruanda,Rwanda,Ruanda,Руанда,Rwanda,רואנדה,رواندا,Ρουάντα,Ruanda,रवांडा,르완다
187,Sudan,Sudán,Sudan,スーダン,苏丹,Sudan,Soudan,Sudan,Судан,Soedan,סודן,سودان,Σουδάν,Sudão,सूडान,수단
188,Senegal,Senegal,Senegal,セネガル,塞内加尔,Senegal,Sénégal,Senegal,Сенегал,Senegal,סנגל,السنغال,Σενεγάλη,Senegal,सेनेगल,세네갈
191,Sierra Leone,Sierra Leona,Sierra Leone,シエラレオネ,塞拉利昂,Sierra Leone,Sierra Leone,Sierra Leone,Сьерра-Леоне,Sierra Leone,סיירה לאון,سيراليون,Σιέρα Λεόνε,Serra Leoa,सिएरा लियोन,시에라 리온
194,Somalia,Somalia,Somali,ソマリア,索马里,Somalia,Somalie,Somalia,Сомали,Somalië,סומליה,الصومال,Σομαλία,Somália,सोमालिया,소말리아
198,Sao Tome and Principe,Santo Tomé y Príncipe,Sao Tome ve Principe,サントメプリンシペ,圣多美和普林西比,Sao Tome e Principe,Sao Tomé et Principe,Sao Tome und Principe,Сан-Томе и Принсипи,Sao Tome en Principe,סאו טומה ופרינסיפה,ساو تومي وبرينسيبي,Σάο Τομέ και Πρίνσιπε,São Tomé e Príncipe,साओ टोम और प्रिंसिपे,쌍토메프린시페
203,Swaziland,Suazilandia,Svaziland,スワジランド,斯威士兰,Swaziland,Swaziland,Swasiland,Свазиленд,Swaziland,סווזילנד,سوازيلاند,Ζουαζιλάνδη,Suazilândia,स्वाज़ीलैंड,스와질랜드
204,Seychelles,Seychelles,Seyşeller,セーシェル,塞舌尔,Seychelles,Seychelles,Seychellen,Сейшельские острова,Seychellen,Seychelles,سيشل,Σεϋχέλλες,Seychelles,सेशेल्स,Seychelles
207,Chad,Chad,Çad,チャド,乍得,Chad,Tchad,Tschad,Чад,Tsjaad,צ'אד,تشاد,Τσαντ,Chade,काग़ज़ का टुकड़ा,차드
208,Togo,Togo,Togo,トーゴ,多哥,Togo,Togo,Togo,Того,Togo,טוגו,توغو,Τόγκο,Togo,टोगो,토고
218,Tanzania,Tanzania,Tanzanya,タンザニア,坦桑尼亚,Tanzania,Tanzanie,Tansania,Танзания,Tanzania,טנזניה,تنزانيا,Τανζανία,Tanzânia,तंज़ानिया,탄자니아
219,Uganda,Uganda,Uganda,ウガンダ,乌干达,Uganda,Ouganda,Uganda,Уганда,Oeganda,אוגנדה,أوغندا,Ουγκάντα,Uganda,यूगांडा,우간다
234,South Africa,Sudáfrica,Güney Afrika,南アフリカ,南非,Sudafrica,Afrique du Sud,Südafrika,ЮАР,Zuid-Afrika,דרום אפריקה,جنوب أفريقيا,Νότια Αφρική,África do Sul,दक्षिण अफ्रीका,남아 프리카 공화국
235,"Congo, Dem. Rep.","Congo,. Rep.","Kongo, Dem. Cumhuriyeti",コンゴ、DEM。議員,刚果，DEM。众议员,"Congo, Dem. Rep.","Congo, Rép. Représentant","Kongo, Dem.. Rep.","Конго, Дем. Конгрессмен","Congo, Dem. Rep","קונגו, Dem. חבר הקונגרס",الكونغو، ماركا المانيا. عضو مجلس النواب,"Κονγκό, Dem. Δημ.","Congo, Dem. Rep.","कांगो, Dem. निरसित",콩고 민주 공화국. 하원 의원
236,Zambia,Zambia,Zambiya,ザンビア,赞比亚,Zambia,Zambie,Sambia,Замбия,Zambia,זמביה,زامبيا,Ζάμπια,Zâmbia,ज़ाम्बिया,잠비아
237,Zimbabwe,Zimbabue,Zimbabve,ジンバブエ,津巴布韦,Zimbabwe,Zimbabwe,Simbabwe,Зимбабве,Zimbabwe,זימבבואה,زيمبابوي,Ζιμπάμπουε,Zimbábue,ज़िम्बाब्वे,짐바브웨
253,St. Helena,Santa Elena,Helena,セントヘレナ,圣赫勒拿,St. Helena,Sainte-Hélène,St. Helena,Остров Святой Елены,St. Helena,סנט הלנה,سانت هيلانة,Άγια Ελένη,Santa Helena,सेंट हेलेना,세인트 헬레나
3,Afghanistan,Afganistán,Afganistan,アフガニスタン,阿富汗,Afghanistan,Afghanistan,Afghanistan,Афганистан,Afghanistan,אפגניסטן,أفغانستان,Αφγανιστάν,Afeganistão,अफ़ग़ानिस्तान,아프가 니스탄
19,Bangladesh,Bangladesh,Bangladeş,バングラデシュ,孟加拉国,Bangladesh,Bangladesh,Bangladesch,Бангладеш,Bangladesh,בנגלדש,بنجلاديش,Μπαγκλαντές,Bangladesh,बांग्लादेश,방글라데시
31,Bhutan,Bután,Butan,ブータン,不丹,Bhutan,Bhoutan,Bhutan,Бутан,Bhutan,בהוטן,بوتان,Μπουτάν,Butão,भूटान,부탄
96,India,India,Hindistan,インド,印度,India,Inde,Indien,Индия,Indië,הודו,الهند,Ινδία,Índia,भारत,인도
125,Sri Lanka,Sri Lanka,Sri Lanka,スリランカ,斯里兰卡,Sri Lanka,Sri Lanka,Sri Lanka,Шри Ланка,Sri Lanka,סרי לנקה,سري لانكا,Σρι Λάνκα,Sri Lanka,श्रीलंका,스리랑카
137,Maldives,Maldivas,Maldivler,モルディブ,马尔代夫,Maldive,Maldives,Malediven,Мальдивы,Maldiven,האיים המלדיביים,جزر المالديف,Μαλδίβες,Maldivas,मालदीव,몰디브
165,Nepal,Nepal,Nepal,ネパール,尼泊尔,Nepal,Népal,Nepal,Непал,Nepal,נפאל,نيبال,Νεπάλ,Nepal,नेपाल,네팔
169,Pakistan,Pakistán,Pakistan,パキスタン,巴基斯坦,Pakistan,Pakistan,Pakistan,Пакистан,Pakistan,פקיסטן,باكستان,Πακιστάν,Paquistão,पाकिस्तान,파키스탄
26,Bermuda,Bermuda,Bermuda,バミューダ,百慕大,Bermuda,Bermudes,Bermuda,Бермудские острова,Bermuda,ברמודה,برمودا,Βερμούδα,Bermudas,बरमूडा,버뮤다
34,Canada,Canadá,Kanada,カナダ,加拿大,Canada,Canada,Kanada,Канада,Canada,קנדה,كندا,Καναδάς,Canadá,कनाडा,캐나다
223,United States,Estados Unidos,Amerika Birleşik Devletleri,米国,美国,Stati Uniti,États-Unis,Vereinigte Staaten,Соединенные Штаты,Verenigde Staten,ארצות הברית,الولايات المتحدة,Ηνωμένες Πολιτείες,Estados Unidos,अमेरिका,미국
7,United Arab Emirates,Emiratos Árabes Unidos,Birleşik Arap Emirlikleri,アラブ首長国連邦,阿拉伯联合酋长国,Emirati Arabi Uniti,Émirats arabes unis,Vereinigte Arabische Emirate,Объединенные Арабские Эмираты,Verenigde Arabische Emiraten,איחוד האמירויות הערביות,الامارات العربية المتحدة,Ηνωμένα Αραβικά Εμιράτα,Emirados Árabes Unidos,संयुक्त अरब अमीरात,아랍 에미리트
21,Bahrain,Bahrein,Bahreyn,バーレーン,巴林,Bahrain,Bahreïn,Bahrein,Бахрейн,Bahrein,בחריין,البحرين,Μπαχρέιν,Bahrain,बहरीन,바레인
51,Djibouti,Yibuti,Cibuti,ジブチ,吉布提,Gibuti,Djibouti,Dschibuti,Джибути,Djibouti,ג'יבוטי,جيبوتي,Τζιμπουτί,Djibouti,जिबोटी,지부티
55,Algeria,Argelia,Cezayir,アルジェリア,阿尔及利亚,Algeria,Algérie,Algerien,Алжир,Algerije,אלג'יריה,الجزائر,Αλγερία,Argélia,अल्जीरिया,알제리
61,"Egypt, Arab Rep.","Egipto, Rep. Arabe",Mısır Arap Cumhuriyeti,エジプト、アラブ議員,埃及阿拉伯共和国,"Egitto, Rep. Araba","Égypte, République arabe","Ägypten, Arabische Rep.","Египет, Арабская Республика","Egypte, Arabische Rep","מצרים, חבר הקונגרס הערבי",مصر، النائب العربي,"Αίγυπτος, Αραβική Δημοκρατία","Egito, Emirados Árabes Rep.","मिस्र, अरब निरसित","이집트, 아랍 공화국"
98,"Iran, Islamic Rep.","Irán, República Islámica","İran, İslam Cumhuriyeti",イラン、イスラム議員,伊朗伊斯兰共和国,"Iran, Rep. Islamica","Iran, République islamique","Iran, Islamische Rep.",Исламская Республика Иран,"Iran, Islamitische Rep","איראן, חבר הקונגרס המוסלמי",جمهورية ايران الاسلامية,"Ιράν, Ισλαμική Δημοκρατία",Irão,"ईरान, इस्लामी निरसित","이란, 이슬람 공화국"
99,Iraq,Irak,Irak,イラク,伊拉克,Iraq,Irak,Irak,Ирак,Irak,עיראק,العراق,Ιράκ,Iraque,इराक,이라크
101,Israel,Israel,İsrail,イスラエル,以色列,Israele,Israël,Israel,Израиль,Israël,ישראל,إسرائيل,Ισραήλ,Israel,इजराइल,이스라엘
104,Jordan,Jordania,Ürdün,ヨルダン,约旦,Giordania,Jordanie,Jordanien,Иордания,Jordanië,ירדן,الأردن,Ιορδανία,Jordânia,जॉर्डन,요르단
114,Kuwait,Kuwait,Kuveyt,クウェート,科威特,Kuwait,Koweit,Kuwait,Кувейт,Koeweit,כווית,الكويت,Κουβέιτ,Kuweit,कुवैत,쿠웨이트
117,Lebanon,Líbano,Lübnan,レバノン,黎巴嫩,Libano,Liban,Libanon,Ливан,Libanon,לבנון,لبنان,Λίβανος,Líbano,लेबनान,레바논
119,Libya,Libia,Libya,リビア,利比亚,Libia,Libye,Libyen,Ливия,Libië,לוב,ليبيا,Λιβύη,Líbia,लीबिया,리비아
133,Morocco,Marruecos,Fas,モロッコ,摩洛哥,Marocco,Maroc,Marokko,Марокко,Marokko,מרוקו,مغربي,Μαρόκο,Marrocos,मोरक्को,아프리카 북서부의 회교 왕국
168,Oman,Omán,Umman,オマーン,阿曼,Oman,Oman,Oman,Оман,Oman,עומאן,عمان,Ομάν,Oman,ओमान,오만
181,Qatar,Qatar,Katar,カタール,卡塔尔,Qatar,Qatar,Katar,Катар,Katar,קטאר,قطر,Κατάρ,Catar,क़तर,카타르
186,Saudi Arabia,Arabia Saudita,Suudi Arabistan,サウジアラビア,沙特阿拉伯,Arabia Saudita,Arabie Saoudite,Saudi-Arabien,Саудовская Аравия,Saudi-Arabië,ערב הסעודית,العربية السعودية,Σαουδική Αραβία,Arábia Saudita,सऊदी अरब,사우디 아라비아
205,Syrian Arab Republic,República Árabe Siria,Suriye Arap Cumhuriyeti,シリアアラブ共和国,阿拉伯叙利亚共和国,Repubblica araba siriana,République arabe syrienne,Arabische Republik Syrien,Сирийской Арабской Республики,Syrische Arabische Republiek,הרפובליקה הערבית הסורית,الجمهورية العربية السورية,Αραβική Δημοκρατία της Συρίας,República Árabe Síria,सीरियाई अरब गणराज्य,시리아 아랍 공화국
215,Tunisia,Túnez,Tunus,チュニジア,突尼斯,Tunisia,Tunisie,Tunesien,Тунис,Tunesië,תוניסיה,تونس,Τυνησία,Tunísia,ट्यूनीशिया,튀니지
230,West Bank and Gaza,Cisjordania y Gaza,Batı Şeria ve Gazze,ヨルダン川西岸とガザ,约旦河西岸和加沙,Cisgiordania e Gaza,Cisjordanie et à Gaza,Westjordanland und Gazastreifen,Западный берег и сектор Газа,West Bank and Gaza,בגדה המערבית וברצועת עזה,الضفة الغربية وقطاع غزة,Δυτική Όχθη και τη Γάζα,Cisjordânia e Gaza,पश्चिमी तट और गाजा,웨스트 뱅크와 가자
233,"Yemen, Rep.","Yemen, Rep.",Yemen Cumhuriyeti,イエメン、議員,也门共和国,"Yemen, Rep.","Yémen, Rép","Jemen, Rep.","Йемен, Республика","Jemen, Rep","תימן, חבר הקונגרס",اليمن، عضو مجلس النواب,"Υεμένη, Δημ.","Iêmen, Rep.","यमन, निरसित","예멘, 하원 의원"
1,Aruba,Aruba,Aruba,アルバ,阿鲁巴,Aruba,Aruba,Aruba,Аруба,Aruba,ארובה,أروبا,Αρούμπα,Aruba,अरूबा,아루바
8,Argentina,Argentina,Arjantin,アルゼンチン,阿根廷,Argentina,Argentine,Argentinien,Аргентина,Argentinië,ארגנטינה,الأرجنتين,Αργεντινή,Argentina,अर्जेंटीना,아르헨티나
11,Antigua and Barbuda,Antigua y Barbuda,Antigua ve Barbuda,アンチグアバーブーダ,安提瓜和巴布达,Antigua e Barbuda,Antigua et Barbuda,Antigua und Barbuda,Антигуа и Барбуда,Antigua en Barbuda,אנטיגואה וברבודה,انتيغوا وبربودا,Αντίγκουα και Μπαρμπούντα,Antígua e Barbuda,अंटीगुआ और बारबूडा,앤티가 바부다
22,"Bahamas, The","Bahamas, The","Bahamalar,",バハマ、,巴哈马，,"Bahamas, The","Bahamas, The","Bahamas, The","Багамские острова,","Bahamas, De","Bahamas,",جزر البهاما، و,"Μπαχάμες, Η","Bahamas, The","बहामा,","바하마,"
25,Belize,Belice,Belize,ベリーズ,伯利兹,Belize,Belize,Belize,Белиз,Belize,בליז,بليز,Μπελίζ,Belize,बेलीज़,벨리즈
27,Bolivia,Bolivia,Bolivya,ボリビア,玻利维亚,Bolivia,Bolivie,Bolivien,Боливия,Bolivia,בוליביה,بوليفيا,Βολιβία,Bolívia,बोलीविया,볼리비아
28,Brazil,Brasil,Brezilya,ブラジル,巴西,Brasile,Brésil,Brasilien,Бразилия,Brazilië,ברזיל,البرازيل,Βραζιλία,Brasil,ब्राज़िल,브라질
29,Barbados,Barbados,Barbados,バルバドス,巴巴多斯,Barbados,La Barbade,Barbados,Барбадос,Barbados,ברבדוס,بربادوس,Μπαρμπάντος,Barbados,बारबाडोस,바베이도스
37,Chile,Chile,Şili,チリ,智利,Chile,Chili,Chile,Чили,Chili,צ'ילה,تشيلي,Χιλή,Chile,चिली,칠레
42,Colombia,Colombia,Kolombiya,コロンビア,哥伦比亚,Colombia,Colombie,Kolumbien,Колумбия,Colombia,קולומביה,كولومبيا,Κολομβία,Colômbia,कोलंबिया,콜롬비아
45,Costa Rica,Costa Rica,Kostarika,コスタリカ,哥斯达黎加,Costarica,Costa Rica,Costa Rica,Коста-Рика,Costa Rica,קוסטה ריקה,كوستاريكا,Κόστα Ρίκα,Costa Rica,कोस्टा रिका,코스타리카
46,Cuba,Cuba,Küba,キューバ,古巴,Cuba,Cuba,Kuba,Куба,Cuba,קובה,كوبا,Κούβα,Cuba,क्यूबा,쿠바
47,Cayman Islands,Las Islas Caimán,Cayman Adaları,ケイマン諸島,开曼群岛,Isole Cayman,Iles Caïmans,Cayman Islands,Каймановы острова,Cayman Islands,איי קיימן,جزر كايمان,Νησιά Καϊμάν,Ilhas Cayman,केमैन द्वीप,케이맨 제도
52,Dominica,Dominica,Dominika,ドミニカ国,多米尼克,Dominica,Dominique,Dominica,Доминика,Dominica,דומיניקה,دومينيكا,Ντομίνικα,Dominica,डॉमिनिका,도미니카
54,Dominican Republic,República Dominicana,Dominik Cumhuriyeti,ドミニカ共和国,多米尼加共和国,Repubblica Dominicana,République dominicaine,Dominikanische Republik,Доминиканская Республика,Dominicaanse Republiek,הרפובליקה הדומיניקנית,جمهورية الدومينيكان,Δομινικανή Δημοκρατία,República Dominicana,डॉमिनिक गणराज्य,도미니카 공화국
60,Ecuador,Ecuador,Ekvador,エクアドル,厄瓜多尔,Ecuador,Equateur,Ecuador,Эквадор,Ecuador,אקוודור,الاكوادور,Εκουαδόρ,Equador,इक्वेडोर,에콰도르
82,Grenada,Granada,Grenada,グレナダ,格林纳达,Grenada,Grenade,Grenada,Гренада,Grenada,גרנדה,غرينادا,Γρενάδα,Granada,ग्रेनेडा,그레 나다
84,Guatemala,Guatemala,Guatemala,グアテマラ,危地马拉,Guatemala,Guatemala,Guatemala,Гватемала,Guatemala,גואטמלה,غواتيمالا,Γουατεμάλα,Guatemala,ग्वाटेमाला,과테말라
86,Guyana,Guayana,Guyana,ガイアナ,圭亚那,Guyana,Guyane,Guyana,Гайана,Guyana,גיאנה,غيانا,Γουιάνα,Guiana,गिनी - बिसाऊ,가이아나
89,Honduras,Honduras,Honduras,ホンジュラス,洪都拉斯,Honduras,Honduras,Honduras,Гондурас,Honduras,הונדורס,هندوراس,Ονδούρα,Honduras,होंडुरस,온두라스
92,Haiti,Haití,Haiti,ハイチ,海地,Haiti,Haïti,Haiti,Гаити,Haïti,האיטי,هايتي,Αϊτή,Haiti,हैती,아이티
103,Jamaica,Jamaica,Jamaika,ジャマイカ,牙买加,Giamaica,Jamaïque,Jamaika,Ямайка,Jamaica,ג'מייקה,جامايكا,Ιαμαϊκή,Jamaica,जमैका,자메이카
111,St. Kitts and Nevis,Saint Kitts y Nevis,Saint Kitts ve Nevis,セントクリストファー·ネイビス,圣基茨和尼维斯,St. Kitts e Nevis,Saint-Kitts-et-Nevis,St. Kitts und Nevis,Сент-Китс и Невис,St. Kitts en Nevis,סנט קיטס ונוויס,سانت كيتس ونيفيس,Σεντ Κιτς και Νέβις,St. Kitts and Nevis,सेंट किट्स और नेविस,세인트 키츠 네비스
120,St. Lucia,Santa Lucía,Saint Lucia,セント·ルシアのホテル,圣露西亚,St. Lucia,Sainte-Lucie,St. Lucia,Сент-Люсия,St. Lucia,סנט לוסיה,سانت لوسيا,Αγία Λουκία,St. Lucia,सेंट लूसिया,세인트 루시아
139,Mexico,México,Meksika,メキシコ,墨西哥,Messico,Mexique,Mexiko,Мексика,Mexico,מקסיקו,المكسيك,Μεξικό,México,मेक्सिको,멕시코
161,Nicaragua,Nicaragua,Nikaragua,ニカラグア,尼加拉瓜,Nicaragua,Nicaragua,Nicaragua,Никарагуа,Nicaragua,ניקרגואה,نيكاراغوا,Νικαράγουα,Nicarágua,निकारागुआ,니카라과
170,Panama,Panamá,Panama,パナマ,巴拿马,Panama,Panama,Panama,Панама,Panama,פנמה,بنما,Παναμάς,Panamá,पनामा,파나마
171,Peru,Perú,Peru,ペルー,秘鲁,Perù,Pérou,Peru,Перу,Peru,פרו,بيرو,Περού,Peru,पेरू,페루
176,Puerto Rico,Puerto Rico,Portoriko,プエルトリコ,波多黎各,Puerto Rico,Porto Rico,Puerto Rico,Пуэрто-Рико,Puerto Rico,פורטו ריקו,بورتوريكو,Πουέρτο Ρίκο,Porto Rico,पोर्टो रीको,푸에르 토리코
179,Paraguay,Paraguay,Paraguay,パラグアイ,巴拉圭,Paraguay,Paraguay,Paraguay,Парагвай,Paraguay,פרגוואי,باراغواي,Παραγουάη,Paraguai,पैराग्वे,파라과이
192,El Salvador,El Salvador,El Salvador,エルサルバドル,萨尔瓦多,El Salvador,El Salvador,El Salvador,Сальвадор,El Salvador,אל סלבדור,السلفادور,Ελ Σαλβαδόρ,El Salvador,अल सल्वाडोर,엘살바도르
199,Suriname,Suriname,Surinam,スリナム,苏里南,Suriname,Suriname,Suriname,Суринам,Suriname,סורינאם,سورينام,Σουρινάμ,Suriname,सूरीनाम,수리남
206,Turks and Caicos Islands,Islas Turcas y Caicos,Turks ve Caicos Adaları,タークスカイコス諸島,特克斯和凯科斯群岛,Isole Turks e Caicos,Îles Turques et Caïques,Turks-und Caicosinseln,Острова Теркс и Кайкос,Turks-en Caicoseilanden,איי טורקס וקאיקוס,جزر تركس وكايكوس,Τερκς και Κάικος,Ilhas Turks e Caicos,तुर्क्स ऐंड कैकोज़ आइलैंड्स,터크스 케이 커스 제도
214,Trinidad and Tobago,Trinidad y Tobago,Trinidad ve Tobago,トリニダード·トバゴ,特里尼达和多巴哥,Trinidad e Tobago,Trinité-et-Tobago,Trinidad und Tobago,Тринидад и Тобаго,Trinidad en Tobago,טרינידד וטובגו,ترينيداد وتوباغو,Τρινιντάντ και Τομπάγκο,Trinidad e Tobago,त्रिनिदाद एंड टोबेगो,트리 니다드 토바고
222,Uruguay,Uruguay,Uruguay,ウルグアイ,乌拉圭,Uruguay,Uruguay,Uruguay,Уругвай,Uruguay,אורוגוואי,أوروغواي,Ουρουγουάη,Uruguai,उरुग्वे,우루과이
225,St. Vincent and the Grenadines,San Vicente y las Granadinas,Saint Vincent ve Grenadinler,セントビンセントおよびグレナディーン諸島,圣文森特和格林纳丁斯,St. Vincent e Grenadine,Saint-Vincent-et-les Grenadines,St. Vincent und die Grenadinen,Сент-Винсент и Гренадины,St. Vincent en de Grenadines,סנט וינסנט והגרנדינים,سانت فنسنت وغرينادين,Άγιος Βικέντιος και Γρεναδίνες,São Vicente e Granadinas,सेंट विन्सेंट और ग्रेनेजियन्स,세인트 빈센트 그레나딘
226,Venezuela,Venezuela,Venezuela,ベネズエラ,委内瑞拉,Venezuela,Venezuela,Venezuela,Венесуэла,Venezuela,ונצואלה,فنزويلا,Βενεζουέλα,Venezuela,वेनेज़ुएला,베네수엘라
